song_id,title,artist,found,spotify_id,popularity,duration_ms,explicit,release_date,tempo,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,loudness,key,mode,time_signature
CB_05,Found Out,Caribou,True,7cgQlPVe2km50oQNagseTR,26,198948,False,2010-04-20,,,,,,,,,,,,
CB_06,Bowls,Caribou,True,60klFmyeLBbiVEbTguDuDH,24,381387,False,2010-04-20,,,,,,,,,,,,
CB_07,Mars,Caribou,True,67AKmHxzWTJZegalIGhodj,21,345666,False,2014-10-07,,,,,,,,,,,,
CB_08,Your Love Will Set You Free,Caribou,True,2i57pciO4zHEXGkDlNSVjf,37,402099,False,2014-10-07,,,,,,,,,,,,
CB_09,Back Home,Caribou,True,4Ol5FZJbRZoZWyoHlZyCgJ,35,213133,False,2014-10-07,,,,,,,,,,,,
CB_10,Never Come Back,Caribou,True,09Duj3JrvK9jhMNpSqZ8f4,46,305480,False,2020-02-28,,,,,,,,,,,,
CB_11,All I Ever Need,Caribou,True,1kfnI9CB9cC9TyRnLJZA9q,34,232746,False,2014-10-07,,,,,,,,,,,,
CB_12,Silver,Caribou,True,7mNfRjYiEpP5FqXIRPPKY1,44,316653,False,2014-10-07,,,,,,,,,,,,
CG_01,Redbone,Childish Gambino,True,3vQ4T78TTMOjQXGfXVKQJo,84,326933,True,2016-12-02,,,,,,,,,,,,
CG_02,This Is America,Childish Gambino,False,,,,,,,,,,,,,,,,,
CG_03,3005,Childish Gambino,False,,,,,,,,,,,,,,,,,
CG_04,Sober,Childish Gambino,False,,,,,,,,,,,,,,,,,
CG_05,Sweatpants,Childish Gambino,False,,,,,,,,,,,,,,,,,
CG_06,V. 3005 (Beach Picnic Version),Childish Gambino,False,,,,,,,,,,,,,,,,,
CG_07,Me and Your Mama,Childish Gambino,False,,,,,,,,,,,,,,,,,
CG_08,Terrified,Childish Gambino,False,,,,,,,,,,,,,,,,,
CG_09,Heartbeat,Childish Gambino,False,,,,,,,,,,,,,,,,,
CG_10,Outside,Childish Gambino,False,,,,,,,,,,,,,,,,,
CG_11,telegraphs,Childish Gambino,False,,,,,,,,,,,,,,,,,
CG_12,California,Childish Gambino,False,,,,,,,,,,,,,,,,,
CH_01,Blessings,Chance the Rapper,True,2VQc9orzwE6a5qFfy54P6e,53,221939,False,2016-05-27,,,,,,,,,,,,
CH_02,No Problem,Chance the Rapper,True,0v9Wz8o0BT8DU38R4ddjeH,66,304606,True,2016-05-27,,,,,,,,,,,,
CH_03,Same Drugs,Chance the Rapper,True,6m9qPYXmhge2QhBLfFKnVF,58,257775,False,2016-05-27,,,,,,,,,,,,
CH_04,Angels,Chance the Rapper,True,0jx8zY5JQsS4YEQcfkoc5C,54,206240,True,2016-05-27,,,,,,,,,,,,
CH_05,Paranoia,Chance the Rapper,True,3AqRtnS48u04MS7hjdlIZg,50,275281,True,2013-04-30,,,,,,,,,,,,
CH_06,Sunday Candy,Chance the Rapper,True,5SVcXBFyidkEVbBgD9Sp3v,58,307187,True,2023-04-30,,,,,,,,,,,,
CH_07,Favorite Song,Chance the Rapper,True,1tyCvK8fhQ1UUVK0nY1JlH,60,185062,True,2013-04-30,,,,,,,,,,,,
CH_08,All We Got,Chance the Rapper,True,3ZLyt2ndLFBh148XRYjYYZ,58,203794,False,2016-05-27,,,,,,,,,,,,
CH_09,Cocoa Butter Kisses,Chance the Rapper,True,5SVcXBFyidkEVbBgD9Sp3v,58,307187,True,2023-04-30,,,,,,,,,,,,
CH_10,Smoke Again,Chance the Rapper,True,4qHK2BNxlVpgIxxvt26hTI,50,272562,True,2013-04-30,,,,,,,,,,,,
CH_11,Hot Shower,Chance the Rapper,True,6TagqfYkLRIo8SPNdyaJ4f,56,225923,True,2019-07-26,,,,,,,,,,,,
